Descendant,Age at death,Sex,Persons
Amelia,Female,0,6.67
Amelia,Female,5,8.33
Amelia,Female,10,10.00
Amelia,Female,15,10.00
Amelia,Female,20,13.33
Amelia,Female,25,13.33
Amelia,Female,30,15.00
Amelia,Female,35,21.67
Amelia,Female,40,26.67
Amelia,Female,45,26.67
Amelia,Female,50,30.00
Amelia,Female,55,31.67
Amelia,Female,60,36.67
Amelia,Female,65,41.67
Amelia,Female,70,48.33
Amelia,Female,75,58.33
Amelia,Female,80,73.33
Amelia,Female,85,86.67
Amelia,Female,90,95.00
Amelia,Female,95,96.67
Amelia,Female,100,98.33
Amelia,Female,105,100.00
Elizabeth,Female,0,16.33
Elizabeth,Female,5,17.35
Elizabeth,Female,10,19.39
Elizabeth,Female,15,19.39
Elizabeth,Female,20,22.45
Elizabeth,Female,25,24.49
Elizabeth,Female,30,25.51
Elizabeth,Female,35,25.51
Elizabeth,Female,40,26.53
Elizabeth,Female,45,27.55
Elizabeth,Female,50,30.61
Elizabeth,Female,55,32.65
Elizabeth,Female,60,37.76
Elizabeth,Female,65,44.90
Elizabeth,Female,70,58.16
Elizabeth,Female,75,65.31
Elizabeth,Female,80,77.55
Elizabeth,Female,85,92.86
Elizabeth,Female,90,96.94
Elizabeth,Female,95,98.98
Elizabeth,Female,100,100.00
Elizabeth,Female,105,100.00
George,Female,0,14.71
George,Female,5,15.69
George,Female,10,16.67
George,Female,15,17.65
George,Female,20,20.59
George,Female,25,21.57
George,Female,30,25.49
George,Female,35,28.43
George,Female,40,28.43
George,Female,45,30.39
George,Female,50,35.29
George,Female,55,39.22
George,Female,60,44.12
George,Female,65,46.08
George,Female,70,55.88
George,Female,75,67.65
George,Female,80,74.51
George,Female,85,88.24
George,Female,90,95.10
George,Female,95,99.02
George,Female,100,100.00
George,Female,105,100.00
John,Female,0,22.22
John,Female,5,29.63
John,Female,10,29.63
John,Female,15,29.63
John,Female,20,29.63
John,Female,25,37.04
John,Female,30,44.44
John,Female,35,48.15
John,Female,40,55.56
John,Female,45,62.96
John,Female,50,66.67
John,Female,55,66.67
John,Female,60,74.07
John,Female,65,74.07
John,Female,70,81.48
John,Female,75,85.19
John,Female,80,85.19
John,Female,85,88.89
John,Female,90,96.30
John,Female,95,100.00
John,Female,100,100.00
John,Female,105,100.00
Amelia,Male,0,16.18
Amelia,Male,5,20.59
Amelia,Male,10,20.59
Amelia,Male,15,23.53
Amelia,Male,20,26.47
Amelia,Male,25,30.88
Amelia,Male,30,36.76
Amelia,Male,35,39.71
Amelia,Male,40,44.12
Amelia,Male,45,45.59
Amelia,Male,50,51.47
Amelia,Male,55,57.35
Amelia,Male,60,63.24
Amelia,Male,65,64.71
Amelia,Male,70,70.59
Amelia,Male,75,73.53
Amelia,Male,80,82.35
Amelia,Male,85,91.18
Amelia,Male,90,100.00
Amelia,Male,95,100.00
Amelia,Male,100,100.00
Amelia,Male,105,100.00
Elizabeth,Male,0,17.58
Elizabeth,Male,5,20.88
Elizabeth,Male,10,21.98
Elizabeth,Male,15,23.08
Elizabeth,Male,20,23.08
Elizabeth,Male,25,25.27
Elizabeth,Male,30,25.27
Elizabeth,Male,35,27.47
Elizabeth,Male,40,32.97
Elizabeth,Male,45,34.07
Elizabeth,Male,50,42.86
Elizabeth,Male,55,46.15
Elizabeth,Male,60,52.75
Elizabeth,Male,65,61.54
Elizabeth,Male,70,71.43
Elizabeth,Male,75,82.42
Elizabeth,Male,80,91.21
Elizabeth,Male,85,91.21
Elizabeth,Male,90,96.70
Elizabeth,Male,95,100.00
Elizabeth,Male,100,100.00
Elizabeth,Male,105,100.00
George,Male,0,12.50
George,Male,5,13.33
George,Male,10,14.17
George,Male,15,15.00
George,Male,20,16.67
George,Male,25,17.50
George,Male,30,23.33
George,Male,35,25.83
George,Male,40,30.00
George,Male,45,35.83
George,Male,50,40.83
George,Male,55,45.83
George,Male,60,54.17
George,Male,65,65.00
George,Male,70,71.67
George,Male,75,80.00
George,Male,80,88.33
George,Male,85,94.17
George,Male,90,97.50
George,Male,95,98.33
George,Male,100,100.00
George,Male,105,100.00
John,Male,0,31.25
John,Male,5,31.25
John,Male,10,31.25
John,Male,15,31.25
John,Male,20,31.25
John,Male,25,37.50
John,Male,30,37.50
John,Male,35,43.75
John,Male,40,46.88
John,Male,45,56.25
John,Male,50,56.25
John,Male,55,62.50
John,Male,60,75.00
John,Male,65,81.25
John,Male,70,87.50
John,Male,75,90.63
John,Male,80,100.00
John,Male,85,100.00
John,Male,90,100.00
John,Male,95,100.00
John,Male,100,100.00
John,Male,105,100.00
